Carimbo de data/hora,Gênero,Frio,Temperatura Considerada,Chuva,Distância,Tempo Gasto,Selecionar Turno,Impacto do Turno,interesse,Cansaço,Ambiente,Compromissos
2025/06/18 9:40:25 AM GMT-3,Feminino,0,,2,2,Menor que 10 minutos,Noite,0,0,1,0,2
2025/06/18 9:53:49 AM GMT-3,Masculino,4,Abaixo de 10 °C,3,5,Menor que 1 hora,Manhã,2,4,5,0,2
2025/06/18 10:06:59 AM GMT-3,Feminino,1,,1,0,,Noite,2,4,5,1,0
2025/06/18 10:13:52 AM GMT-3,Masculino,5,Abaixo de 0 °C,5,5,Menor que 1 hora e 30 minutos,Noite,4,4,2,3,4
2025/06/18 10:37:12 AM GMT-3,Masculino,3,Abaixo de 10 °C,4,1,Menor que 10 minutos,Tarde;Noite,3,3,4,0,3
2025/06/18 2:30:15 PM GMT-3,Feminino,5,Abaixo de 10 °C,5,5,Menor que 30 minutos,Noite,2,4,5,0,2
2025/06/18 8:39:40 PM GMT-3,Feminino,4,Abaixo de 5 °C,5,5,Menor que 30 minutos,Tarde;Noite,5,5,5,5,5
2025/06/18 9:09:30 PM GMT-3,Feminino,3,Abaixo de 10 °C,5,3,Menor que 1 hora,Manhã,2,2,5,3,5
2025/06/18 9:11:26 PM GMT-3,Feminino,2,Abaixo de 10 °C,5,3,Menor que 30 minutos,Manhã;Tarde,2,2,5,2,5
2025/06/18 9:12:52 PM GMT-3,Feminino,3,Abaixo de 10 °C,5,3,Menor que 1 hora,Noite,1,2,5,1,5
2025/06/18 9:14:05 PM GMT-3,Feminino,4,Abaixo de 5 °C,5,3,Menor que 1 hora e 30 minutos,Noite,1,2,5,1,5
2025/06/18 9:25:43 PM GMT-3,Feminino,0,Abaixo de 5 °C,2,2,Menor que 10 minutos,Manhã,0,5,3,2,0
2025/06/18 9:27:14 PM GMT-3,Masculino,3,Abaixo de 10 °C,4,0,,Manhã,3,5,5,5,2
2025/06/18 9:30:21 PM GMT-3,Masculino,1,Abaixo de 5 °C,3,0,Menor que 10 minutos,Noite,0,2,2,2,4
2025/06/18 9:31:27 PM GMT-3,Prefiro nao responder,5,Abaixo de 15 °C,5,5,Maior que 1 hora e 30 minutos,Noite,0,5,5,5,5
2025/06/18 9:35:12 PM GMT-3,Masculino,4,Abaixo de 10 °C,4,0,,Noite,1,2,4,1,5
2025/06/22 7:13:05 PM GMT-3,Feminino,3,Abaixo de 5 °C,5,3,Menor que 1 hora e 30 minutos,Noite,2,3,5,0,5
2025/06/22 7:13:27 PM GMT-3,Feminino,4,Abaixo de 5 °C,5,4,Menor que 1 hora e 30 minutos,Noite,0,0,5,0,5
2025/06/22 7:14:53 PM GMT-3,Feminino,5,Abaixo de 0 °C,5,5,Menor que 1 hora e 30 minutos,Noite,0,2,5,0,5
2025/06/22 7:15:58 PM GMT-3,Feminino,2,Abaixo de 0 °C,5,0,Menor que 10 minutos,Noite,0,2,5,0,5
2025/06/22 7:18:45 PM GMT-3,Masculino,4,Abaixo de 5 °C,4,2,Menor que 1 hora,Noite,2,3,5,2,5
2025/06/22 7:19:50 PM GMT-3,Masculino,1,,4,2,Menor que 30 minutos,Tarde,3,4,4,2,4
2025/06/22 7:21:19 PM GMT-3,Masculino,3,Abaixo de 10 °C,5,5,Menor que 1 hora e 30 minutos,Noite,3,3,3,5,4
2025/06/22 7:33:53 PM GMT-3,Feminino,2,Abaixo de 10 °C,4,1,Menor que 1 hora,Tarde,0,0,4,0,2
2025/06/22 7:35:36 PM GMT-3,Feminino,1,Abaixo de 5 °C,0,1,Menor que 1 hora,Manhã,0,1,4,0,2
2025/06/22 7:37:20 PM GMT-3,Feminino,1,Abaixo de 5 °C,0,0,Menor que 30 minutos,Noite,0,1,5,0,1
2025/06/22 7:39:11 PM GMT-3,Masculino,2,Abaixo de 10 °C,0,1,Menor que 1 hora e 30 minutos,Noite,1,0,5,0,3
2025/06/22 7:45:45 PM GMT-3,Feminino,1,Abaixo de 5 °C,0,1,Menor que 1 hora,Noite,0,0,4,1,3
2025/06/23 7:54:22 PM GMT-3,Masculino,0,,0,0,,Noite,0,0,0,0,3
2025/06/23 7:55:52 PM GMT-3,Masculino,5,Abaixo de 10 °C,2,5,Menor que 10 minutos,Noite,3,0,0,0,2
2025/06/23 8:18:06 PM GMT-3,Masculino,0,,1,0,,Noite,2,5,3,0,4
